State,District,year,Murder,Attemp to Murder,Culpable Homicide not amounting to Murder,Hit and Run,Rape,Kidnapping and Abduction,Arson,Sexual Harassment,Grievous Hurt,Causing Death by Negligence,Dowry Deaths,Theft,TotalIpcCrime
AndhraPradesh,Alluri Sitharama Raju,2022,29,12,4,17,34,5,4,3,5,144,2,604,863
AndhraPradesh,Anakapalli,2022,16,26,8,24,37,26,20,57,55,352,5,556,1182
AndhraPradesh,Anantapuramu,2022,51,83,4,35,12,31,25,37,21,310,2,527,1138
AndhraPradesh,Annamayya,2022,37,52,8,13,11,10,13,10,59,292,2,1045,1552
AndhraPradesh,Bapatla,2022,42,35,2,6,22,15,22,36,67,255,3,299,804
AndhraPradesh,Chittoor,2022,30,80,6,17,12,14,11,23,44,356,2,705,1300
AndhraPradesh,Dr BR Ambedkar Konaseema,2022,17,65,5,8,23,34,11,115,148,215,3,716,1360
AndhraPradesh,East Godavari,2022,25,61,3,32,27,46,27,82,159,336,0,578,1376
AndhraPradesh,Eluru,2022,32,51,5,14,28,49,18,87,54,244,8,492,1082
AndhraPradesh,Guntakal Railway,2022,1,0,1,0,0,0,0,0,1,0,0,473,476
AndhraPradesh,Guntur,2022,0,94,7,15,29,50,44,94,25,398,6,605,1367
AndhraPradesh,Kakinada,2022,34,51,8,99,16,37,25,62,114,375,3,662,1486
AndhraPradesh,Krishna,2022,29,47,1,25,28,116,27,78,39,283,12,169,854
AndhraPradesh,Kurnool,2022,41,85,6,0,9,48,24,45,25,323,4,542,1152
AndhraPradesh,Nandyal,2022,44,83,6,18,8,45,0,19,43,281,2,1107,1656
AndhraPradesh,NTR,2022,48,82,2,39,51,67,28,99,29,400,3,497,1345
AndhraPradesh,Palnadu,2022,40,53,2,30,9,41,27,53,39,385,3,231,913
AndhraPradesh,Parvathipuram Manyam,2022,6,21,0,3,21,23,3,15,12,104,2,614,824
AndhraPradesh,Prakasam,2022,49,47,5,11,24,18,24,54,41,379,0,327,979
AndhraPradesh,Sri Potti Sriramulu Nellore,2022,54,173,8,22,17,27,36,35,40,372,2,1082,1868
AndhraPradesh,Sri Sathya Sai,2022,51,64,6,16,7,13,27,39,19,283,7,0,532
AndhraPradesh,Srikakulam,2022,23,42,3,23,26,17,25,25,104,269,2,0,559
AndhraPradesh,Tirupati,2022,60,74,3,18,17,25,20,47,47,439,3,0,753
AndhraPradesh,Viiayawada Railway,2022,5,1,0,0,1,3,0,0,1,2,0,0,13
AndhraPradesh,Visakhapatnam,2022,38,64,12,12,69,38,22,24,58,339,6,0,682
AndhraPradesh,Vizianagaram,2022,22,22,5,24,30,70,14,21,27,221,3,0,459
AndhraPradesh,West Godavari,2022,14,45,2,12,39,19,10,62,94,188,8,0,493
Arunachal Pradesh,Anjaw,2022,1,0,0,0,0,0,6,0,2,1,7,7,24
Arunachal Pradesh,Changlang,2022,8,2,0,0,5,6,0,2,0,2,0,23,48
Arunachal Pradesh,Crime Branch,2022,0,0,0,2,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Dibang Valley,2022,0,0,0,0,0,0,0,0,0,1,0,2,3
Arunachal Pradesh,Kameng East,2022,4,2,0,0,6,1,0,1,4,4,0,10,32
Arunachal Pradesh,Kameng West,2022,1,1,0,0,2,2,0,0,1,20,0,32,59
Arunachal Pradesh,Kurung Kumey,2022,2,0,1,0,0,0,0,0,3,0,0,3,9
Arunachal Pradesh,Lohit,2022,2,4,0,0,2,4,0,0,2,8,0,13,35
Arunachal Pradesh,Longding,2022,2,2,0,0,1,5,0,0,2,4,0,7,23
Arunachal Pradesh,Lower Dibang Valley,2022,0,1,0,0,7,2,1,0,74,7,0,15,107
Arunachal Pradesh,Papum Pare City,2022,2,2,0,2,20,18,5,1,3,8,0,455,516
Arunachal Pradesh,Papum Pare Rural,2022,8,1,0,0,0,0,0,0,5,5,0,41,60
Arunachal Pradesh,Siang East,2022,4,0,0,0,6,0,0,4,3,15,0,32,64
Arunachal Pradesh,Siang Upper,2022,1,0,0,15,0,0,2,0,5,0,0,8,31
Arunachal Pradesh,Siang West,2022,2,0,0,0,8,3,1,0,0,3,0,7,24
Arunachal Pradesh,Subansiri Lower,2022,1,2,0,3,3,0,0,0,4,0,0,6,19
Arunachal Pradesh,Subansiri Upper,2022,3,1,0,0,0,0,0,0,0,3,0,15,22
Arunachal Pradesh,Tawang,2022,0,0,0,0,2,0,0,0,1,1,0,1,5
Arunachal Pradesh,Tirap,2022,1,5,0,0,1,0,0,0,2,2,0,11,22
Arunachal Pradesh,Namsai,2022,9,0,0,0,1,2,1,1,1,12,0,12,39
Arunachal Pradesh,Siang,2022,1,1,0,0,3,0,1,0,4,7,0,8,25
Arunachal Pradesh,Kamle,2022,1,0,1,0,1,0,2,0,1,3,0,3,12
Arunachal Pradesh,Kra Dadi,2022,1,0,0,0,1,0,0,0,3,2,0,2,9
Arunachal Pradesh,Lower Siang,2022,2,1,0,0,3,0,1,0,3,6,0,20,36
Arunachal Pradesh,Leparada,2022,0,0,0,0,1,1,1,0,2,2,0,6,13
Arunachal Pradesh,Shiyomi,2022,0,1,0,0,1,0,0,0,2,2,0,0,6
Arunachal Pradesh,Pakkessang,2022,0,0,0,0,0,0,0,0,2,0,0,6,8
Assam,BIEO,2022,0,177,6,0,0,0,0,0,0,0,0,0,183
Assam,Barpeta,2022,31,39,1,0,29,63,17,4,231,125,18,752,1310
Assam,Baksa,2022,15,231,4,5,7,25,6,1,49,30,3,127,503
Assam,Bongaigaon,2022,21,230,2,0,22,1,6,0,168,85,2,382,919
Assam,CID,2022,0,45,1,0,0,0,0,0,0,0,0,0,46
Assam,Cachar,2022,60,158,2,0,45,0,37,0,540,132,15,951,1940
Assam,Chirang,2022,14,0,0,0,18,24,0,0,70,50,1,123,300
Assam,Darrang,2022,31,98,1,0,61,0,7,11,297,61,3,234,804
Assam,Dhemaji,2022,17,8,0,20,22,3,1,9,55,99,0,192,426
Assam,Dhubri,2022,35,275,9,15,39,4,18,5,217,88,11,900,1616
Assam,Dibrugarh,2022,56,182,0,49,18,74,5,2,145,115,7,761,1414
Assam,GRP,2022,15,12,0,0,1,1,0,1,11,1,1,208,251
Assam,Goalpara,2022,23,206,7,0,45,23,0,0,57,104,4,324,793
Assam,Golaghat,2022,23,601,0,0,22,13,8,1,49,116,1,356,1190
Assam,Guwahati City,2022,74,0,1,33,62,128,9,36,445,226,10,4492,5516
Assam,Hailakandi,2022,13,4,3,17,40,27,6,12,77,20,2,348,569
Assam,Hamren,2022,7,157,2,0,6,26,4,0,0,12,0,28,242
Assam,Jorhat,2022,37,166,7,39,27,17,11,16,277,49,1,909,1556
Assam,Kamrup,2022,50,0,1,131,98,40,24,46,408,207,16,1027,2048
Assam,Karbi Anglong,2022,25,261,0,43,8,35,0,0,20,52,0,221,665
Assam,Karimganj,2022,32,99,0,1,61,39,13,5,97,67,7,436,857
Assam,Kokrajhar,2022,37,192,0,50,36,0,10,0,16,74,2,311,728
Assam,Lakhimpur,2022,35,329,2,24,16,30,5,0,246,124,3,238,1052
Assam,Morigaon,2022,30,122,0,62,49,86,9,0,56,62,6,414,896
Assam,Dima Hasao,2022,5,190,8,0,3,7,0,1,9,13,0,36,272
Assam,Nagaon,2022,58,51,1,209,65,52,22,24,122,209,6,714,1533
Assam,Nalbari,2022,19,143,4,0,20,19,14,13,188,110,1,383,914
Assam,RPO,2022,0,0,1,0,0,0,0,0,0,0,0,3,4
Assam,SOU,2022,0,573,7,0,0,0,0,0,0,0,0,0,580
Assam,STF,2022,0,29,3,0,0,0,0,0,0,0,0,0,32
Assam,Sibsagar,2022,28,101,1,60,15,2,2,2,120,60,4,429,824
Assam,Sonitpur,2022,62,1052,11,158,68,30,6,1,95,166,33,419,2101
Assam,Tinsukia,2022,59,1,0,0,70,88,11,7,225,91,1,758,1311
Assam,Udalguri,2022,25,328,4,75,21,12,5,2,67,75,5,199,818
Assam,Sadia,2022,2,192,4,0,4,18,0,0,11,0,0,41,272
Assam,Majuli,2022,4,101,0,0,3,2,1,8,29,11,0,12,171
Assam,Biswanath,2022,35,504,0,31,15,4,2,0,68,64,2,120,845
Assam,Hojai,2022,27,395,7,0,46,17,7,5,322,67,2,302,1197
Assam,South Salmara,2022,16,62,2,11,32,6,3,0,148,18,5,106,409
Assam,Charaideo,2022,33,131,0,0,7,29,3,4,51,22,2,95,377
Assam,Bajali,2022,3,287,1,0,4,5,1,0,34,30,1,642,1008
Assam,Araria,2022,15,271,2,5,8,12,2,0,19,32,0,124,490
Bihar,Arwal,2022,82,202,1,5,4,18,1,0,483,186,19,547,1548
Bihar,Aurangabad,2022,16,462,5,7,28,7,5,0,68,81,9,122,810
Bihar,Bagaha,2022,79,0,0,33,7,16,1,0,332,284,28,275,1055
Bihar,Banka,2022,38,0,0,55,36,20,0,0,26,62,23,593,853
Bihar,Begusarai,2022,53,177,1,19,18,16,2,0,113,138,14,796,1347
Bihar,Bettiah,2022,110,39,1,23,8,40,1,0,35,275,20,321,873
Bihar,Kaimur(Bhabhua),2022,37,231,4,93,15,48,2,0,235,124,29,1028,1846
Bihar,Bhagalpur,2022,22,230,0,49,7,15,13,0,393,170,30,1468,2397
Bihar,Bhojpur,2022,96,45,4,53,13,13,1,0,44,124,17,482,892
Bihar,Buxar,2022,100,158,0,82,26,21,6,0,478,297,35,748,1951
Bihar,Darbhanga,2022,37,0,1,145,20,10,6,0,25,96,16,1676,2032
Bihar,Gaya,2022,64,98,1,50,10,38,2,0,647,197,20,831,1958
Bihar,Gopalganj,2022,144,8,1,88,21,67,5,0,165,347,56,177,1079
Bihar,Jamalpur Railway,2022,61,275,1,39,72,15,7,0,85,227,21,390,1193
Bihar,Jamui,2022,1,182,0,92,7,0,0,1,0,0,0,344,627
Bihar,Jehanabad,2022,41,12,1,0,0,26,1,0,25,159,12,548,825
Bihar,Katihar,2022,29,206,3,53,4,25,8,0,26,81,15,193,643
Bihar,Katihar Railway,2022,65,601,2,14,3,0,27,0,707,133,17,320,1889
Bihar,Khagaria,2022,2,0,1,57,50,0,0,0,0,0,0,341,451
Bihar,Kishanganj,2022,63,4,1,0,0,36,2,0,33,153,11,155,458
Bihar,Lakhisarai,2022,44,157,0,103,6,34,2,0,65,48,5,572,1036
Bihar,Madhepura,2022,39,166,2,25,42,32,0,2,476,80,3,667,1534
Bihar,Madhubani,2022,73,0,1,72,10,33,12,0,546,145,10,1757,2659
Bihar,Motihari,2022,68,261,1,60,24,20,2,0,128,210,26,263,1063
Bihar,Munger,2022,146,99,0,74,15,85,22,4,2744,420,75,2586,6270
Bihar,Muzaffarpur,2022,56,192,0,48,15,76,2,2,228,111,7,336,1073
Bihar,Muzaffarpur Railway,2022,136,329,9,69,7,64,0,0,2165,493,79,1199,4550
Bihar,Nalanda,2022,4,122,4,89,57,4,1,0,0,1,1,202,485
Bihar,Naugachia,2022,75,190,2,1,0,69,3,0,782,317,58,750,2247
Bihar,Nawadah,2022,43,51,0,165,12,56,4,0,17,96,5,7813,8262
Bihar,Patna,2022,66,143,0,25,6,45,0,0,902,133,18,604,1942
Bihar,Patna Railway,2022,307,0,0,23,20,183,12,0,1122,736,88,1165,3656
Bihar,Purnea,2022,4,573,2,74,85,0,0,0,0,0,0,1080,1818
Bihar,Rohtas,2022,80,29,0,0,0,39,2,0,456,194,18,482,1300
Bihar,Saharsa,2022,62,101,1,97,79,15,5,0,30,246,25,863,1524
Bihar,Samastipur,2022,37,1052,0,87,3,11,4,0,282,110,3,1595,3184
Bihar,Saran,2022,101,1,4,46,16,32,3,0,12,344,41,203,803
Bihar,Sheikhpura,2022,108,328,2,62,44,45,3,0,856,416,51,100,2015
Bihar,Sheohar,2022,14,192,6,40,15,14,0,0,25,73,10,992,1381
Bihar,Sitamarhi,2022,12,101,1,25,4,21,0,4,22,30,5,1257,1482
Bihar,Siwan,2022,62,504,4,8,4,53,1,1,879,203,37,387,2143
Bihar,Supaul,2022,94,395,2,102,42,73,4,0,76,257,38,1283,2366
Bihar,Vaishali,2022,42,62,1,85,7,30,6,0,351,157,15,0,756
Bihar,Economic Offences Unit,2022,117,131,2,4,8,148,3,0,24,288,47,0,772
Bihar,Anti Terrorist Squad,2022,0,287,0,31,15,0,0,0,0,0,0,177,510
Chattisgarh,Balod,2022,0,271,1,0,0,0,0,0,0,0,0,256,528
Chattisgarh,Balodbazar,2022,16,202,1,0,0,44,8,8,8,171,2,110,570
Chattisgarh,Balrampur,2022,28,462,4,0,22,118,18,10,28,239,4,152,1085
Chattisgarh,Bemetra,2022,56,11,0,51,21,56,11,7,21,183,0,892,1309
Chattisgarh,Bilaspur,2022,31,27,4,0,61,46,3,6,14,195,1,26,414
Chattisgarh,Bizapur,2022,54,16,0,41,10,185,30,0,321,311,2,53,1023
Chattisgarh,Dantewara,2022,36,9,1,295,218,15,9,0,0,61,0,174,818
Chattisgarh,Dhamtari,2022,43,59,1,57,10,25,1,1,0,67,0,845,1109
Chattisgarh,Durg,2022,27,36,1,8,9,42,6,8,55,152,6,71,421
Chattisgarh,Gariyaband,2022,39,18,1,13,17,248,37,15,93,312,5,209,1007
Chattisgarh,GRP Raipur,2022,19,13,0,175,76,28,2,1,14,92,0,167,587
Chattisgarh,Jagdalpur,2022,0,57,1,0,28,4,1,0,2,0,0,405,498
Chattisgarh,Janjgir,2022,27,16,3,0,0,0,5,0,0,197,0,186,434
